Greek	Parthian	Middle Persian	Frequency in line	Line 
Παπάκου	Pābag	Pābag	1	Line 48
ἁνδαρζαβιδ	handarzbed	handarzbed	1	Line 48
Ἰησδιβαδ	Yaz≺a≻dbed	Yazadbed	1	Line 48
βασιλισσῶν	bāmbišnān	ī bānūgān	1	Line 48
Σλωκαν	Selūkān	ī Selūkān	1	Line 48
Οὐαλάσου	Wala≺x≻š	Wala≺x≻š	1	Line 48
ἐπιτρόπου	framādār	ī framādār	1	Line 49
Σαπώρου	Šābuhr	Šābuhr	1	Line 49
γανζοφύλακος	ganzβar	ī ganzwar	1	Line 49
Μεερχουαστ	Mihrxwāšt	Mihrxwāst	1	Line 49
Πιτιξιγαν	bidaxšgān	ī bidaxšgān	1	Line 49
Ἀρταξάρου	Ardašīr	Ardašīr	1	Line 49
σατράπου	šahrab	šasab	1	Line 49
Γυε-αρταξάρων	Weh-Ardašīr	ī Weh-Ardašīr	1	Line 49
Ῥαστακ	Rastag	Rastag	1	Line 49
μάγου	ēhrbed	ī ēhrbed	1	Line 49
Καρτειρ	Kerdīr	Kerdīr	1	Line 49
Δησβηδιγαν	dizbedgān	ī dizbedgān	1	Line 49
Ἀβ≺δ≻αγας	Abdaxš	*Ēwaxš	1	Line 49
Πασφερδιγαν	Pāsfardgān	ī *Pāsfalgān	1	Line 49
Πασφερδ	Pāsfard	*Pāsfal	1	Line 49
θυρουροῦ	barbed	ī darbed	1	Line 49
Παπακ	Pābag	Pābag	1	Line 49
τοῦ ἐπὶ τῆς φυλακῆς	zēndānīg	ī zēndānīg	1	Line 49
Ναδωκ	Nāδug	Nādug	1	Line 49
τοῦ ἀρχιγραμματέως	dibīrbed	ī dibīrbed	1	Line 49
Ὡρμίζ≺δ≻ου	Hormezd	Hormezd	1	Line 49
τοῦ ἐπὶ τῆς ἀννώνης	grastbed	ī grastbed	1	Line 49
Ναρσαίου	Narseh	Narseh	1	Line 49
Σασανγαν	Sāsāngān	ī Sāsāngān	2	Line 50
ἕν	ēw		1	Line 50
ὁμοῦ	ēw bidān		1	Line 50
πρόβατον	akbrīd		1	Line 50
οἴνου	maδ		1	Line 50
πασαιους τέσσαρες	4 pās		1	Line 50
μόδιον ἕνα ἥμισυ	ēw grīw ud 5 hōfan		1	Line 50
ἄρτου	nān		1	Line 50
γοραζιβιδ	wārāzbed	ī wārāzbed	1	Line 50
Οὐαρδικ	Wardag	Gulag	1	Line 50
Νασπαδιγαν	Nāšbed≺a≻gān	ī *Nāsbed≺a≻gān	1	Line 50
Οὐαρδάνου	Wardān	Wardān	1	Line 50
δικαστοῦ	dādβar	ī dādwar	1	Line 50
Σασάνου	Sāsān	Sāsān	1	Line 50
εὐνούχου	šābestān		1	Line 50
Μανζικ	Mānzag		1	Line 50
Γυινναρ	Winnār	Winnār	1	Line 50
Βανδιγαν	Bandagān	ī Bandagān	1	Line 50
Ζαρουανδατ	Zurwāndād	Zurwāndād	1	Line 50
Ἰρδουαν	Ardaβān	Ardawān	1	Line 50
Κιρδειρ	Kerdīr	Kerdīr	1	Line 50
Γουλιβηγαν	Wardbed≺a≻gān	ī Wardbed≺a≻gān	1	Line 50
Βαδου	Baγdād	Baydād	1	Line 50
σατράπου	šahrab	šasab	1	Line 50
Νηρηζ	Nīrīz	ī Nīrīz	1	Line 50
Ἀρταξάρου	Ardašīr	Ardašīr	1	Line 50
εὐνούχου	šabestān	ī šābestān	1	Line 50
Οὐορωδ	Wīrōδ	Wīrōy	1	Line 50
ἀγορανόμου	wāžārbed	ī wāzārbed	1	Line 50
Σασαν	Sāsān	Sāsān	1	Line 50
Μεεραν	Mihrān	ī Mihrān	1	Line 50
ἐπὶ ἐπιστολῶν	pad frawardag dibīr	ī dibīr	1	Line 50
Ἀστατ	Arštād	Arštād	1	Line 50
καὶ	ud		8	Line 51
τῶν θεῶν	yazdān		3	Line 51
θρησκείας	kerdagān		2	Line 51
τὰς χρείας	īr		2	Line 51
ἐπὶ	abar		2	Line 51
κἀκεῖνος	haw-iž		2	Line 51
σπουδάζομεν	tuxšām		1	Line 51
ὥσπερ	čawāγōn		1	Line 51
νῦν	Awās		1	Line 51
ἡμεῖς	amā		1	Line 51
ἔσται	ahād		1	Line 51
εὐτυχὴς	farrox		1	Line 51
τῶν θεῶν	yazdān	yazdān	1	Line 51
ἔσται	bawād	bawād	1	Line 51
μεθ’	paš až	pas	1	Line 51
ἡμᾶς	amā	amā	1	Line 51
σπουδασάτω	tuxšād		1	Line 51
ὅστις	kē		1	Line 51
ἐπεποιησάμεθα	kerd		1	Line 51
ἀνδρείαν	nēwīf		1	Line 51
ὄνομα	nām		1	Line 51
κατέσχαμεν	derd		1	Line 51
ἐζητήσαμεν	wxāšt		1	Line 51
πάντα	āwand		1	Line 51
ταῦτα	im		1	Line 51
τὰ ἔθνη	šahr		1	Line 51
βοήθιαν	aδyāwarīf		1	Line 51
εἰς	pad		1	Line 51
ἐσμὲν	ahēm		1	Line 51
κτίσμα	dastgerd		1	Line 51
ἵνα	kū	kū	1	Line 51
ἑαυτῶν ποιήσονται	karānd		1	Line 51
αὐτῷ		ōy-iz	1	Line 51
οἱ θεοὶ	yazad	yazad	1	Line 51
ἔσονται	bawānd	bawānd	1	Line 51
βοηθοὶ	aδyāwar	hayār	1	Line 51
δαστικιρτην	dastgerd		1	Line 51
